,R1,R4,R6,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S3,S4,S5,S6,S7,S8,E3,E5,E8,C5,Strength
0,3,2,2,5,4,3,4,2,5,2,4,2,5,5,5,5,4,2,5,4,3,4,4,4,3,3,3,4,4,2,A
1,1,1,1,4,4,3,1,2,4,2,2,5,3,4,3,3,5,1,3,1,3,1,3,2,2,3,1,1,1,1,A
2,3,1,1,5,2,3,3,4,1,4,2,1,2,1,1,2,1,3,1,4,4,4,4,2,2,4,2,4,2,3,S
3,3,2,3,5,4,4,5,4,4,4,3,4,5,3,4,3,5,4,3,3,3,4,4,5,3,2,4,3,2,1,I
4,-1,2,2,5,2,4,4,4,3,4,3,1,1,2,1,2,2,4,3,3,3,4,2,3,3,2,2,4,2,4,I
5,3,4,4,3,4,3,3,2,3,3,4,2,3,4,2,3,3,4,4,2,3,2,2,2,3,2,3,4,4,3,I
6,1,1,1,2,3,3,1,2,3,2,2,5,5,5,5,5,5,5,5,5,3,3,4,3,5,3,1,2,5,1,A
7,1,1,1,1,2,1,1,1,1,1,1,4,5,5,5,5,5,4,5,4,1,3,3,4,4,2,4,1,5,1,A
8,4,4,4,2,2,2,2,2,3,2,4,2,3,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,2,S
9,5,4,5,5,5,2,4,3,3,3,5,1,1,1,4,3,3,1,1,2,1,3,1,1,3,1,1,1,3,1,R
10,4,1,4,5,5,5,5,5,5,4,4,4,4,5,5,5,4,1,5,4,4,4,4,2,4,2,4,3,2,3,I
11,4,4,3,3,4,4,1,3,3,3,1,1,2,1,1,4,1,1,1,4,1,1,1,5,4,4,4,4,4,4,C
12,3,4,4,2,4,1,4,1,5,2,2,3,3,4,4,-1,3,1,2,5,2,5,4,3,4,2,1,4,5,4,S
13,4,4,4,4,2,2,3,1,2,2,4,2,2,3,2,1,2,2,4,2,3,3,3,3,3,3,4,4,4,4,C
14,1,4,1,5,4,4,5,5,4,5,4,4,3,1,5,3,5,5,1,1,1,3,1,1,1,1,3,4,1,4,I
15,2,2,2,1,4,4,3,3,4,3,5,3,4,5,4,5,3,4,4,4,4,5,5,3,3,3,4,5,3,4,A
16,1,2,1,1,1,4,2,2,4,4,3,3,2,4,3,4,5,3,4,3,1,3,3,3,3,2,2,3,2,1,A
17,1,2,2,4,4,4,3,3,4,4,4,3,4,5,5,4,5,4,5,3,3,3,4,5,4,3,1,2,5,1,A
18,4,2,1,5,5,5,2,5,5,4,4,1,1,4,1,5,1,2,3,5,1,1,2,3,1,1,4,4,5,2,I
19,2,3,3,5,5,5,3,5,5,5,5,1,4,1,2,4,5,5,3,2,2,2,3,5,3,4,2,2,1,1,I
20,1,1,1,1,1,1,1,1,1,1,3,-1,4,3,4,3,4,1,3,3,1,1,1,2,1,1,3,2,3,1,A
